id,texto,etiqueta
1,El producto llegó en perfectas condiciones y funciona excelente,Positivo
2,Pésimo servicio nunca respondieron mis mensajes de soporte,Negativo
3,La calidad es buena para el precio que tiene,Positivo
4,Me encanta la aplicación es muy intuitiva y rápida,Positivo
5,Terrible experiencia el paquete llegó completamente roto,Negativo
6,El envío tardó pero el producto llegó en buenas condiciones,Neutro
7,No me convenció del todo esperaba algo mejor,Neutro
8,Increíble calidad superó todas mis expectativas,Positivo
9,El servicio al cliente resolvió mi problema de inmediato,Positivo
10,Fraude total no corresponde lo que anuncian con lo que entregan,Negativo
11,Funciona bien aunque podría ser más rápido,Neutro
12,Compré tres veces y siempre llegó en perfectas condiciones,Positivo
13,Se rompió al segundo día de uso muy decepcionante,Negativo
14,El diseño es hermoso y los materiales son de calidad,Positivo
15,El soporte tardó semanas en contestar mi ticket,Negativo
16,Producto útil y práctico cumple con lo que promete,Positivo
17,Lento y defectuoso no lo volvería a comprar jamás,Negativo
18,Satisfecho con la compra recomiendo este vendedor,Positivo
19,La guía de instalación podría ser más clara y detallada,Neutro
20,Excelente relación calidad precio de los mejores que he comprado,Positivo
21,Llegó antes de lo esperado y en excelentes condiciones,Positivo
22,El color no es el mismo que el de las fotos del producto,Negativo
23,Muy buena compra lo recomiendo sin dudarlo a todos,Positivo
24,No funciona como dicen en la descripción del producto,Negativo
25,Cumple con su función aunque es básico para el precio,Neutro
26,Atención al cliente amable y resolutiva muy recomendado,Positivo
27,El producto huele raro y parece de mala calidad,Negativo
28,Perfecto para lo que necesitaba cumple al cien por ciento,Positivo
29,Me llegó con una pieza faltante pero lo demás bien,Neutro
30,La batería dura muy poco comparado con lo que anuncian,Negativo
31,Increíble producto superó todas mis expectativas ampliamente,Positivo
32,Tuve que devolverlo porque no funcionó desde el principio,Negativo
33,Buen producto aunque el empaque podría mejorar un poco,Neutro
34,El vendedor es muy profesional y atiende rápido cualquier duda,Positivo
35,Se calentó demasiado después de usarlo por unos minutos,Negativo
36,El material es resistente y parece de buena calidad general,Positivo
37,Demoró más de lo prometido en llegar a mi domicilio,Negativo
38,Funciona exactamente como dice la descripción del producto,Positivo
39,El manual está en otro idioma lo que dificulta el uso,Neutro
40,Me sorprendió gratamente la calidad por ese precio tan bajo,Positivo
