id,texto,sarcasmo
1,Qué sorpresa que el producto llegó roto como siempre sucede aquí,1
2,Me encanta la nueva actualización es súper intuitiva y rápida,0
3,Claro que sí brillante idea cobrar más por menos calidad,1
4,El servicio al cliente me resolvió el problema en minutos,0
5,Obvio que el tren llegó tarde como todos los días sin excepción,1
6,Finalmente encontré el trabajo que tanto buscaba muy emocionado,0
7,Vaya que sí muy original copiar a la competencia sin vergüenza,1
8,La aplicación funciona perfectamente sin ningún error desde la actualización,0
9,Genio total el que diseñó este menú imposible de entender,1
10,Hoy terminé mi proyecto con el mejor resultado posible,0
11,Como no otra promesa política que nadie cumplirá jamás,1
12,El equipo colaboró increíblemente bien en este proyecto difícil,0
13,Qué novedoso cobrar por características que antes eran gratuitas,1
14,Recibí mi pedido a tiempo y en perfectas condiciones,0
15,Brillante idea bloquear al cliente que reporta errores en la app,1
16,El curso superó mis expectativas con contenido muy útil,0
17,Claro que el vuelo llegó tarde era lo único que faltaba hoy,1
18,El restaurante tiene el mejor servicio que he experimentado,0
19,Muy original ese error que ya reporté hace tres meses sin solución,1
20,Terminé de leer el libro más inspirador que he leído en años,0
21,Qué sorpresa que la garantía no cubre exactamente lo que falló,1
22,Hoy el equipo de trabajo estuvo excepcional en la presentación,0
23,Vaya que sí genial idea aumentar el precio y bajar la calidad,1
24,La atención en el banco fue rápida y sin complicaciones hoy,0
25,Obvio que el técnico llegó cuatro horas tarde después del rango,1
26,Mi proyecto fue seleccionado entre cientos de propuestas enviadas,0
27,Como no lo único que faltaba es que además cobren por llamar,1
28,La entrega llegó antes de lo esperado con todo en orden,0
29,Brillante sistema ese de hacer cola dos horas para un trámite,1
30,Hoy aprendí algo nuevo que cambió mi perspectiva profesional,0
31,Qué original que el seguro no cubra exactamente lo que necesito,1
32,El hotel superó todas mis expectativas en servicio y comodidad,0
33,Genio total el que pone instrucciones en un idioma que nadie lee,1
34,Acabo de recibir la noticia más emocionante de mi carrera,0
35,Muy novedoso ese error de diseño que tienen desde hace años ya,1
36,El médico fue muy atento y resolvió mis dudas completamente,0
37,Claro que sí maravilloso que fallen el día que más los necesito,1
38,Hoy superé el reto que pensé que era imposible para mí,0
39,Vaya sorpresa que el político no cumplió lo que prometió en campaña,1
40,El equipo entregó el proyecto con calidad superior a la esperada,0
41,Qué innovador cobrar por cancelar algo que nunca funcionó bien,1
42,Terminé el primer año de mi emprendimiento con resultados positivos,0
43,Obvio que el sistema está caído justo en el último día del mes,1
44,Recibí el reconocimiento que nunca esperé recibir tan pronto,0
45,Brillante idea hacer más difícil algo que antes era muy sencillo,1
46,El producto superó mis expectativas en calidad y rendimiento,0
47,Como no otra actualización que arregla lo que no estaba roto,1
48,Hoy firmé el contrato más importante de mi vida profesional,0
49,Qué sorpresa que la línea de atención tiene dos horas de espera,1
50,La presentación salió perfecta después de meses de preparación,0
51,Genio total el que programó este sistema que falla cada lunes,1
52,Mi equipo resolvió el problema más complejo en tiempo récord,0
53,Muy original vender lo mismo con distinto empaque como si fuera nuevo,1
54,Hoy recibí los mejores comentarios de mi carrera profesional,0
55,Claro que la garantía expiró el día exacto que falló el aparato,1
56,El proyecto fue entregado antes del plazo con calidad excelente,0
57,Vaya que sí qué eficiente ese sistema que tarda diez minutos,1
58,Finalicé el reto de lectura anual con veinte libros terminados,0
59,Qué novedoso ese error del sistema que nadie ha corregido en años,1
60,Hoy logré el objetivo que tenía desde el inicio del año,0
61,Brillante idea cobrar estacionamiento en evento que ya es de pago,1
62,El equipo de soporte técnico fue rápido y efectivo en la solución,0
63,Obvio que el producto no incluye lo que claramente se muestra en foto,1
64,Terminé la certificación que me abrirá muchas puertas profesionales,0
65,Como no otra promesa incumplida de ese proveedor de siempre,1
66,El diseño del nuevo espacio de trabajo mejoró la productividad,0
67,Qué sorpresa que el contratista cobra extra por lo que ya estaba incluido,1
68,Mi investigación fue aceptada en la revista indexada que quería,0
69,Genio total el que decidió quitar la función más usada de la app,1
70,El evento de networking fue muy productivo conocí personas clave,0
71,Muy original que el gobierno haga encuesta pero ignore los resultados,1
72,Hoy recibí el apoyo que cambió el rumbo de mi proyecto,0
73,Claro que sí maravilloso que la app consuma toda la batería tan rápido,1
74,El proceso de onboarding fue muy claro y eficiente en la empresa,0
75,Vaya descubrimiento que el servicio cuesta el doble sin avisar,1
76,Terminé el desafío físico que nunca creí que podría completar,0
77,Qué innovador ese formulario de veinte pasos para un trámite simple,1
78,La experiencia en el congreso fue enriquecedora para mi carrera,0
79,Obvio que el descuento no aplica para exactamente lo que necesito,1
80,Hoy alcancé la meta de ahorro que me propuse hace dos años,0
81,Brillante esa política de devolución que en la práctica no funciona,1
82,El taller de liderazgo cambió mi perspectiva completamente,0
83,Como no el error que reporté hace semanas sigue ahí tranquilo,1
84,Mi primer año como freelance cerró con más clientes de lo esperado,0
85,Qué sorpresa que el proveedor entregue tarde y cobre a tiempo,1
86,El proceso de certificación fue muy bien estructurado y claro,0
87,Genio total el que diseñó esta interfaz imposible de navegar,1
88,Hoy conseguí el patrocinador que necesitaba para mi proyecto,0
89,Muy novedoso ese contrato con cláusulas que solo los perjudican,1
90,El equipo de trabajo estuvo increíblemente comprometido todo el año,0
91,Claro que sí qué raro que fallen justo cuando más los necesito,1
92,Terminé el primer semestre con los mejores resultados académicos,0
93,Vaya originalidad cobrar por soporte de producto que acabo de comprar,1
94,La mentoría recibida este año fue fundamental para mi crecimiento,0
95,Qué sorpresa que la política de cancelación sea completamente injusta,1
96,Hoy recibí la noticia que cambió el rumbo de mi carrera positivamente,0
97,Brillante idea actualizar sin preguntar y perder configuraciones,1
98,El proyecto de investigación recibió financiamiento que buscábamos,0
99,Obvio que la entrega llegue tarde justo para el regalo de cumpleaños,1
100,Terminé el año con el mejor balance profesional de mi carrera,0
101,Qué sorpresa que el médico dijera exactamente lo opuesto al anterior,1
102,El nuevo proceso redujo los tiempos de trabajo a la mitad,0
103,Como no genial cobrar por actualización que arruinó todo,1
104,Mi propuesta fue seleccionada entre todas las presentadas este año,0
105,Muy original hacer tres clics para lo que antes era uno solo,1
106,El equipo de diseño entregó un trabajo que superó lo pedido,0
107,Claro que el sistema falle en el día más importante del mes,1
108,Hoy se cumplió el objetivo más importante que tenía para el año,0
109,Vaya innovación cobrar más por función que antes era gratuita,1
110,La conferencia estuvo llena de contenido valioso y práctico,0
111,Qué genial idea hacer más pasos para hacer lo mismo de siempre,1
112,Acabo de cerrar el mejor trato comercial de mi carrera,0
113,Obvio que la calidad bajó justo cuando aumentaron el precio,1
114,El primer trimestre cerró con resultados por encima del objetivo,0
115,Brillante ese sistema que guarda el error pero no el progreso,1
116,Mi equipo logró superar la meta establecida antes del plazo,0
117,Como no una vez más prometen y una vez más no cumplen nada,1
118,Hoy recibí el reconocimiento más importante de mi vida profesional,0
119,Qué sorpresa que la versión gratis sea tan limitada al final,1
120,Terminé el año con más aprendizaje del que esperaba tener,0
121,Genio total el que escribió instrucciones sin ningún sentido lógico,1
122,El sistema de gestión mejoró la productividad del equipo completo,0
123,Muy original ese correo de oferta que llega después de comprar,1
124,Hoy firmé el acuerdo más importante para mi startup,0
125,Claro que sí qué casualidad que el precio suba justo al renovar,1
126,El evento fue perfectamente organizado con todos los detalles,0
127,Vaya que sí increíble que fallen exactamente cuando más se necesitan,1
128,La propuesta fue aceptada en su totalidad sin cambios solicitados,0
129,Qué novedad otro bug que aparece con la última actualización,1
130,Mi presentación generó el interés que esperaba en la audiencia,0
131,Obvio que el producto en tienda sea más caro que en línea,1
132,El proceso de incorporación del nuevo equipo fue muy efectivo,0
133,Brillante el diseño que hace que la batería dure solo unas horas,1
134,Hoy recibí una oportunidad que esperé durante mucho tiempo,0
135,Como no otra característica eliminada que todos usábamos a diario,1
136,El cliente aprobó el proyecto sin ninguna modificación solicitada,0
137,Qué sorpresa que el precio del envío sea más que el producto mismo,1
138,Terminé el proyecto que más me costó con el mejor resultado,0
139,Genio total el que pensó en poner publicidad dentro de app de pago,1
140,El equipo superó todos los indicadores clave del trimestre,0
141,Obvio que la app nueva consuma el doble de datos que la anterior,1
142,Hoy alcancé el número de clientes que me propuse al iniciar el año,0
143,Muy original que el manual diga una cosa y el producto haga otra,1
144,La empresa alcanzó su mejor año en términos de resultados,0
145,Claro que sí maravilloso que el cliente vea algo diferente a lo comprado,1
146,Recibí la validación de mi proyecto de parte de expertos en el área,0
