id,usuario,texto,plataforma,likes,etiqueta
1,usuario_01,Me encanta la nueva actualización de la app es genial,Twitter,45,Positivo
2,usuario_02,Pésimo servicio nunca más vuelvo a comprar en esta tienda,Twitter,12,Negativo
3,usuario_03,Hoy tuve una experiencia increíble en el restaurante,Instagram,230,Positivo
4,usuario_04,El clima está terrible hoy no salgas si no es necesario,Twitter,8,Negativo
5,usuario_05,Acabo de terminar un proyecto increíble muy orgulloso,LinkedIn,89,Positivo
6,usuario_06,La película que vi anoche fue un completo aburrimiento,Twitter,34,Negativo
7,usuario_07,Feliz cumpleaños a mi mejor amiga eres lo máximo,Instagram,512,Positivo
8,usuario_08,El tráfico de esta ciudad es imposible todos los días,Twitter,67,Negativo
9,usuario_09,Hoy empecé un nuevo trabajo estoy muy emocionado,LinkedIn,156,Positivo
10,usuario_10,Esta canción me tiene loco llevo días escuchándola,Twitter,89,Positivo
11,usuario_11,Por qué el gobierno no hace nada con el agua esto es terrible,Twitter,203,Negativo
12,usuario_12,Acabo de probar el nuevo café de la esquina absolutamente delicioso,Instagram,178,Positivo
13,usuario_13,El internet en este país es un desastre total,Twitter,445,Negativo
14,usuario_14,Nuestro equipo ganó el campeonato increíble emoción,Twitter,678,Positivo
15,usuario_15,El hospital me tardó cuatro horas para atenderme,Twitter,234,Negativo
16,usuario_16,Hermosa tarde con la familia en el parque,Instagram,345,Positivo
17,usuario_17,La calidad del producto que compré es malísima,Twitter,56,Negativo
18,usuario_18,Acabé de leer el mejor libro que he tenido en mis manos,Twitter,123,Positivo
19,usuario_19,El precio de la gasolina sube sin parar es un robo,Twitter,567,Negativo
20,usuario_20,Mi perro aprendió un nuevo truco hoy qué inteligente es,Instagram,890,Positivo
21,usuario_21,El vuelo llegó con dos horas de retraso sin explicación,Twitter,234,Negativo
22,usuario_22,Nuevo récord personal en el gimnasio muy contento,Instagram,456,Positivo
23,usuario_23,El banco cobró comisiones que no habían avisado,Twitter,345,Negativo
24,usuario_24,Pasé mi examen de certificación con la calificación más alta,LinkedIn,567,Positivo
25,usuario_25,El arreglo de mi coche costó el doble de lo que dijeron,Twitter,189,Negativo
26,usuario_26,Primera vez en Europa y es exactamente como lo soñaba,Instagram,1230,Positivo
27,usuario_27,La comida del evento empresarial era literalmente horrible,Twitter,78,Negativo
28,usuario_28,Acabo de recibir mi título universitario gracias a todos,Instagram,2345,Positivo
29,usuario_29,El vecino no para de hacer ruido hasta la madrugada,Twitter,123,Negativo
30,usuario_30,Hoy terminé mi primer maratón no puedo creerlo,Twitter,567,Positivo
31,usuario_31,El proveedor incumplió con los tiempos de entrega acordados,LinkedIn,45,Negativo
32,usuario_32,Increíble atardecer desde la terraza de mi casa,Instagram,789,Positivo
33,usuario_33,Me robaron el teléfono en el centro tengan cuidado,Twitter,456,Negativo
34,usuario_34,Graduación de mi hijo el día más feliz de mi vida,Instagram,1890,Positivo
35,usuario_35,El sistema de transporte público colapsó de nuevo,Twitter,678,Negativo
36,usuario_36,Finalmente encontré el trabajo de mis sueños,LinkedIn,890,Positivo
37,usuario_37,El concierto fue suspendido sin previo aviso y sin reembolso,Twitter,456,Negativo
38,usuario_38,Primera exhibición de mis fotografías una noche increíble,Instagram,567,Positivo
39,usuario_39,La app del banco no funciona y necesito hacer pagos urgentes,Twitter,234,Negativo
40,usuario_40,Acabo de publicar mi primer artículo académico qué logro,LinkedIn,345,Positivo
41,usuario_41,El restaurante cobró por extras que no pedimos en la cuenta,Twitter,189,Negativo
42,usuario_42,Nuestra startup recibió financiamiento primera ronda cerrada,LinkedIn,678,Positivo
43,usuario_43,Se canceló mi vuelo y perderé una reunión muy importante,Twitter,234,Negativo
44,usuario_44,Hoy presenté mi tesis con mención honorífica muy orgulloso,Instagram,1234,Positivo
45,usuario_45,El servicio de streaming subió el precio sin mejoras visibles,Twitter,456,Negativo
46,usuario_46,Nuestro equipo de fútbol infantil ganó el torneo regional,Instagram,789,Positivo
47,usuario_47,La constructora dejó mi departamento sin terminar dos meses,Twitter,345,Negativo
48,usuario_48,Conseguí boletos para el concierto de mi banda favorita,Twitter,567,Positivo
49,usuario_49,El parque cercano está lleno de basura nadie lo limpia,Twitter,234,Negativo
50,usuario_50,Mi hija habló sus primeras palabras hoy estoy llorando de alegría,Instagram,2345,Positivo
51,usuario_51,El seguro de gastos médicos se negó a cubrir mi cirugía,Twitter,456,Negativo
52,usuario_52,Terminé mi curso de programación en línea muy satisfecho,LinkedIn,345,Positivo
53,usuario_53,La empresa cambió los términos del contrato sin avisar,Twitter,189,Negativo
